# GPD ASCII Format
# 24 Apr 00
# Raw Counts - All Pollen Types
#
# ****************************************************************
# ** Please acknowledge the contributors and the North American **
# ** Pollen Database when using these data.                     **
# ****************************************************************
#
# Site name:      Jackson Pond
     0.0     0.0     0.0     3.0     0.0     4.0     0.0     2.0     0.0     0.0
     0.0    17.0     4.0     0.0   125.0     0.0     0.0     1.0     0.0     0.0
    16.0    11.0     0.0     0.0     9.0     1.0     1.0     1.0     0.0     9.0
     1.0     0.0     5.0     3.0     1.0     9.0     0.0     0.0     4.0     0.0
   195.0    20.0     2.0     2.0     0.0     0.0     2.0     0.0     4.0     5.0
     0.0     0.0     0.0    10.0     0.0     0.0     0.0     0.0     7.0     3.0
     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0
    70.0     1.0     1.0     0.0     0.0     0.0    16.0     1.0     0.0     0.0
     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0
     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0
     0.0     0.0     1.0     0.0     1.0     0.0     2.0     1.0     0.0     4.0
     1.0    78.0     4.0 16180.0     1.0
160, , 925
     0.0     0.0     0.0     1.0     0.0     3.0     0.0     2.0     0.0     0.0
     0.0    29.0     6.0     0.0    53.0     1.0     0.0     0.0     0.0     0.0
    18.0     3.0     4.0     0.0     3.0     0.0     1.0     3.0     0.0    12.0
     0.0     0.0     1.0     1.0     0.0     9.0     0.0     0.0     4.0     0.0
   208.0    10.0     0.0     0.0     0.0     0.0     0.0     0.0     2.0     5.0
     1.0     0.0     0.0     2.0     0.0     0.0     0.0     0.0     5.0     0.0
     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0
    83.0     0.0    11.0     0.0     0.0     0.0    22.0     0.0     0.0     0.0
     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0
     0.0     0.0     3.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0
     2.0     0.0     1.0     0.0     0.0     0.0     0.0     0.0     0.0     4.0
     1.0    37.0     2.0 16180.0     1.0
165, , 1622
     0.0     0.0     0.0     5.0     0.0     5.0     0.0     1.0     0.0     0.0
     0.0    18.0     5.0     0.0    68.0     0.0     0.0     1.0     0.0     0.0
    29.0     5.0     9.0     0.0     2.0     0.0     1.0     1.0     0.0    14.0
     0.0     0.0     4.0     4.0     0.0     6.5     0.0     0.0     4.0     0.0
   183.0    13.0     0.0     0.0     0.0     0.0     4.0     0.0     2.0     5.0
     0.0     1.0     0.0     6.0     0.0     0.0     0.0     0.0    13.0     1.0
     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0
    51.0     0.0     5.0     0.0     0.0     0.0    32.0     0.0     0.0     0.0
     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0
     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0
     2.0     0.0     1.0     5.0     0.0     0.0     0.0     0.0     1.0     3.0
     0.0    39.0     3.0 16180.0     1.0
170, , 2381
     0.0     0.0     0.0     0.0     0.0     4.0     0.0     0.0     0.0     0.0
     0.0    12.0    10.0     1.0   108.0     0.0     0.0     0.0     0.0     0.0
    23.0     3.0     3.0     0.0     3.0     0.0     0.0     1.0     0.0    17.0
     0.0     0.0     3.0     1.0     0.0     0.0     0.0     0.0     3.0     0.0
   171.0    48.0     0.0     0.0     0.0     0.0     1.0     0.0     1.0    11.0
     0.0     0.0     0.0     7.0     0.0     0.0     0.0     0.0    10.0     1.0
     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0
    20.0     0.0     3.0     0.0     0.0     0.0    22.0     0.0     0.0     1.0
     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0
