     0.0     1.0     0.0     0.0     0.0     0.0     1.0     0.0     0.0     0.0
     0.0     0.0     0.0     0.0     0.0     0.0     6.0     3.0     3.0     2.0
   362.0
390, , 3981
     0.0     0.0     0.0     0.0     5.0     0.0    13.0    33.0     0.0    22.0
     0.0     0.0     0.0     0.0     3.0     2.0     0.0    32.0     5.0     1.0
     0.0     0.0     3.0     0.0     0.0     0.0     1.0     5.0     1.0     9.0
     0.0     4.0     3.0    18.0     4.0     3.0   214.0     1.0     0.0     1.0
     0.0     0.0     1.0     0.0     6.0    12.0     0.0     0.0     0.0     0.0
     1.0     0.0     0.0     0.0     0.0    12.0     0.0     0.0     0.0     0.0
     2.0     0.0     0.0     0.0     0.0     3.0     0.0     0.0     0.0     0.0
     1.0     0.0     3.0     0.0     1.0     0.0     0.0     0.0     4.0     5.0
     0.0     0.0     0.0     1.0     0.0     0.0     3.0     0.0     1.0     0.0
     0.0     0.0     0.0     0.0     0.0     3.0     6.0     6.0     1.0     2.0
   335.0
410, , 4197
     0.0     1.0     3.0     1.0     5.0     0.0    14.0    28.0     0.0    34.0
     1.0     0.0     2.0     0.0     1.0     2.0     1.0    26.0     3.0     9.0
     2.0     0.0     1.0     0.0     0.0     1.0     2.0     3.0     0.0    13.0
     0.0     1.0     3.0    21.0     3.0     1.0   210.0     1.0     0.0     1.0
     0.0     1.0     0.0     0.0     4.0     7.0     0.0     0.0     0.0     0.0
     3.0     0.0     0.0     0.0     1.0     9.0     0.0     0.0     0.0     0.0
     3.0     0.0     0.0     0.0     0.0     2.0     0.0     0.0     0.0     0.0
     0.0     0.0    11.0     0.0     0.0     0.0     0.0     0.0     5.0     6.0
     0.0     2.0     0.0     0.0     0.0     0.0     1.0     0.0     1.0     0.0
     0.0     1.0     0.0     0.0     0.0     2.0     4.0     3.0     1.0     1.0
   320.0
450, , 4609
     0.0     0.0     1.0     2.0    10.0     0.0    17.0    48.0     0.0    22.0
     5.0     0.0     0.0     0.0     1.0     2.0     0.0    33.0     8.0     5.0
     1.0     0.0     6.0     0.0     0.0     0.0     0.0     2.0     0.0     7.0
     0.0     3.0     1.0    13.0     2.0     1.0   214.0     0.0     0.0     0.0
     0.0     2.0     2.0     0.0     6.0     8.0     0.0     0.0     0.0     0.0
     1.0     0.0     0.0     0.0     0.0     2.0     0.0     0.0     0.0     0.0
     1.0     0.0     0.0     0.0     0.0     3.0     0.0     0.0     0.0     0.0
     0.0     0.0     2.0     0.0     0.0     0.0     0.0     0.0     1.0     8.0
     1.0     0.0     0.0     0.0     0.0     0.0     3.0     0.0     1.0     1.0
     0.0     0.0     0.0     1.0     0.0     5.0     0.0     2.0     2.0     1.0
   280.0
470, , 4806
     1.0     0.0     0.0     0.0     6.0     2.0    21.0    54.0     0.0    18.0
     1.0     0.0     1.0     0.0     1.0     2.0     0.0    41.0     7.0     6.0
     0.0     0.0     9.0     0.0     1.0     0.0     0.0     0.0     0.0     6.0
     1.0     3.0     2.0    11.0     4.0     6.0   216.0     0.0     0.0     0.0
     0.0     0.0     3.0     0.0    14.0    12.0     0.0     2.0     0.0     1.0
     2.0     0.0     0.0     0.0     0.0     3.0     0.0     0.0     0.0     0.0
     4.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0
     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     4.0     6.0
     0.0     0.0     0.0     1.0     0.0     1.0     2.0     0.0     0.0     1.0
     0.0     1.0     2.0     3.0     2.0     2.0     2.0    18.0     1.0     0.0
   244.0
490, , 4997
     1.0     0.0     2.0     2.0     4.0     0.0    15.0    38.0     0.0    14.0
     5.0     0.0     1.0     0.0     3.0     3.0     0.0    48.0    11.0    11.0
     0.0     0.0     5.0     0.0     0.0     0.0     0.0     1.0     0.0     5.0
     1.0     4.0     2.0    21.0    10.0     1.0   218.0     0.0     0.0     0.0
     1.0     0.0     1.0     0.0    44.0    14.0     0.0     0.0     0.0     0.0
     1.0     0.0     0.0     0.0     0.0     7.0     0.0     0.0     0.0     0.0
     1.0     0.0     0.0     0.0     0.0     1.0     0.0     0.0     1.0     0.0
     0.0     1.0    12.0     1.0     0.0     0.0     0.0     0.0     5.0     8.0
