# GPD ASCII Format
# 24 Apr 00
# Raw Counts - All Pollen Types
#
# ****************************************************************
# ** Please acknowledge the contributors and the North American **
# ** Pollen Database when using these data.                     **
# ****************************************************************
#
# Site name:      Anderson Pond
     0.0     0.0     0.0     0.0     6.0     0.0     0.0     0.0    36.0     0.0
     0.0     0.0     4.0     0.0     0.0     0.0    54.0     0.0     0.0     0.0
     0.0     0.0     0.0     1.0    24.0     0.0     0.0     0.0     1.0     0.0
     6.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0
     2.0     0.0     0.0     0.0     0.0     0.0     0.0     6.0     0.0     0.0
     5.0     0.0     0.0     0.0     1.0    31.0     3.0   103.0     0.0   463.0
64, , 432
     0.0     0.0     4.0     0.0     0.0   206.0     7.0    25.0     3.0     0.0
    33.0     0.0     0.0     0.0     4.0     4.0     4.0     0.0    15.0     0.0
     1.0     1.0     2.0     0.0     3.0     0.0     0.0     3.0     6.0     0.0
     0.0     3.0     0.0    19.0     1.0     1.0   199.0     0.0     0.0     0.0
     0.0     1.0     0.0     0.0     6.0     1.0     1.0     0.0     8.0     0.0
     0.0     0.0     0.0     0.0     0.0     0.0    65.0     0.0     0.0     1.0
     0.0     0.0     0.0     0.0    26.0     0.0     0.0     0.0     0.0     0.0
     7.0     0.0     0.0     2.0     0.0     0.0     0.0     0.0     0.0     0.0
     1.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0
    13.0     0.0     0.0     0.0     2.0    42.0     5.0   157.0     1.0   346.0
68, , 925
     0.0     0.0     1.0     0.0     2.0   194.0     4.0    27.0     7.0     1.0
    54.0     0.0     0.0     0.0     4.0     2.0     2.0     0.0    15.0     0.0
     1.0     2.0     3.0     0.0     5.0     1.0     0.0     0.0     2.0     1.0
     0.0     4.0     0.0    15.0     0.0     4.0   197.0     0.0     0.0     0.0
     0.0     0.0     0.0     1.0     3.0     0.0     0.0     0.0     7.0     0.0
     0.0     0.0     3.0     0.0     0.0     0.0    56.0     1.0     1.0     0.0
     0.0     0.0     4.0     0.0    41.0     1.0     0.0     0.0     0.0     0.0
     8.0     0.0     0.0     2.0     0.0     0.0     0.0     0.0     0.0     0.0
     0.0     0.0     0.0     0.0     2.0     0.0     0.0     0.0     2.0     0.0
     7.0     0.0     0.0     0.0     9.0    25.0     4.0   142.0     0.0   324.0
72, , 1418
     0.0     0.0     4.0     0.0     0.0   207.0     1.0    28.0     3.0     0.0
    25.0     0.0     0.0     0.0     4.0     2.0     5.0     0.0    18.0     0.0
     0.0     1.0     0.0     0.0     1.0     0.0     0.0     2.0     0.0     0.0
     0.0     3.0     0.0    17.0     2.0     0.0   210.0     2.0     0.0     0.0
     0.0     0.0     1.0     0.0     7.0     1.0     0.0     0.0     2.0     0.0
     0.0     3.0     0.0     0.0     0.0     1.0    32.0     0.0     0.0     0.0
     0.0     0.0     0.0     0.0    25.0     1.0     0.0     0.0     1.0     0.0
    12.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0
     2.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0
     4.0     0.0     0.0     0.0     0.0     9.0     1.0    60.0     0.0   685.0
76, , 1911
     0.0     0.0     5.0     0.0     0.0   178.0     3.0    27.0     1.0     0.0
    22.0     0.0     0.0     0.0     0.0     0.0     3.0     1.0    11.0     0.0
     1.0     0.0     0.0     1.0     0.0     0.0     0.0     4.0     1.0     0.0
     1.0     4.0     0.0    18.0     0.0     1.0   266.0     0.0     0.0     0.0
     0.0     0.0     0.0     0.0     7.0     0.0     0.0     0.0     1.0     0.0
     0.0     1.0     0.0     0.0     0.0     1.0    45.0     0.0     0.0     1.0
     0.0     0.0     0.0     0.0    19.0     0.0     0.0     0.0     0.0     0.0
     8.0     1.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0
     4.0     0.0     0.0     0.0     1.0     0.0     0.0     0.0     0.0     0.0
     7.0     0.0     0.0     0.0     0.0     9.0     6.0    43.0     0.0   663.0
80, , 2404
     0.0     0.0     2.0     0.0     0.0   228.0     2.0    19.0     9.0     0.0
    36.0     0.0     0.0     0.0     4.0     0.0     9.0     1.0     9.0     0.0
     0.0     0.0     2.0     0.0     2.0     0.0     0.0     4.0     2.0     0.0
     0.0     3.0     0.0    20.0     2.0     2.0   207.0     2.0     0.0     0.0
     1.0     0.0     0.0     0.0     2.0     2.0     0.0     0.0     9.0     0.0
     1.0     8.0     1.0     0.0     0.0     1.0    28.0     0.0     0.0     0.0
     0.0     0.0     0.0     2.0    31.0     0.0     0.0     0.0     0.0     0.0
    11.0     0.0     0.0     0.0     0.0     0.0     1.0     0.0     0.0     0.0
     1.0     0.0     0.0     0.0     0.0     0.0     0.0     3.0     0.0     0.0
     6.0     0.0     0.0     0.0     0.0    12.0     0.0    65.0     0.0   491.0
84, , 2898
     0.0     0.0     3.0     0.0     0.0   377.0     2.0    23.0     1.0     0.0
    39.0     0.0     0.0     0.0     8.0     0.0    17.0     1.0    15.0     0.0
     1.0     0.0     1.0     0.0     6.0     0.0     0.0     0.0     0.0     0.0
     0.0     2.0     0.0    16.0     0.0     2.0   228.0     5.0     0.0     0.0
     0.0     0.0     0.0     0.0     5.0     1.0     0.0     0.0     3.0     1.0
     0.0     7.0     0.0     0.0     0.0     1.0    10.0     0.0     0.0     0.0
     0.0     0.0     0.0     2.0    20.0     1.0     0.0     0.0     1.0     0.0
    14.0     1.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0
     5.0     0.0     0.0     0.0     0.0     1.0     0.0     1.0     0.0     0.0
    12.0     3.0     0.0     0.0     1.0    17.0     8.0    80.0     0.0   295.0
88, , 3391
     0.0     0.0     3.0     0.0     0.0   245.0     2.0    18.0     4.0     0.0
    39.0     1.0     1.0     0.0     0.0     2.0    12.0     0.0    11.0     0.0
