# GPD ASCII Format
# 24 Apr 00
# Raw Counts - All Pollen Types
#
# ****************************************************************
# ** Please acknowledge the contributors and the North American **
# ** Pollen Database when using these data.                     **
# ****************************************************************
#
# Site name:      Winneconnet Pond
     0.0     0.0     5.0     0.0     0.0     0.0     1.0     0.0     0.0     0.0
     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     2.0
     3.0     0.0     0.0     0.0     0.0     4.0     0.0     0.0     0.0     0.0
     0.0     0.0     0.0     2.0     0.0     0.0    20.0     1.0   140.0     5.0
 16180.0      .5
80, , 2698
     0.0     0.0     1.0     0.0     1.0     1.0    39.0     8.0     3.0     1.0
     0.0     4.0     0.0     0.0     0.0     0.0    10.0     0.0     1.0     0.0
     0.0     0.0     0.0     0.0     0.0     2.0     0.0     1.0     0.0     1.0
     0.0     0.0     6.0     1.0     4.0    49.0     1.0     0.0     0.0     0.0
     0.0     6.0     1.0     0.0     0.0     0.0     0.0     5.0     0.0     0.0
     0.0     1.0     0.0     2.0     0.0     0.0     0.0     0.0     0.0     0.0
     0.0     0.0     4.0     0.0     0.0     0.0     0.0     0.0     1.0     1.0
     0.0     0.0     0.0     0.0     0.0     1.0     0.0     0.0     0.0     1.0
     0.0     0.0     0.0     0.0     0.0     1.0     0.0     0.0     0.0     0.0
     0.0     0.0     0.0     0.0     0.0     0.0    12.0     1.0   105.0     5.0
 16180.0      .5
90, , 2867
     0.0     0.0     3.0     0.0     3.0     8.0   156.0    31.0     2.0     2.0
     0.0     8.0     0.0     3.0     5.0     3.0    18.0     4.0     1.0     9.0
     3.0     0.0     0.0     1.0     0.0     0.0     5.0     3.0     0.0     3.0
     0.0     0.0    34.0     1.0     5.0   166.0     0.0     1.0     0.0     0.0
     0.0     8.0     3.0     0.0     0.0     0.0     0.0    12.0     0.0     0.0
     0.0     1.0     1.0     5.0     0.0     0.0     0.0     0.0     0.0     1.0
     0.0     0.0    26.0     0.0     0.0     0.0     1.0     0.0     0.0     2.0
     0.0     0.0     1.0     0.0     0.0     0.0     0.0     0.0     0.0     8.0
     1.0     0.0     0.0     1.0     0.0     2.0     0.0     1.0     0.0     0.0
     2.0     0.0     2.0     3.0     4.0     0.0    57.0     4.0   284.0     5.0
 16180.0      .5
110, , 3062
     0.0     0.0     5.0     0.0     0.0     2.0    98.0    21.0     5.0     0.0
     0.0     2.0     0.0     0.0     3.0     2.0    13.0     2.0     0.0     3.0
     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0
     0.0     0.0    10.0     0.0     1.0    97.0     2.0     0.0     0.0     0.0
     0.0     4.0     3.0     0.0     0.0     0.0     0.0     9.0     1.0     0.0
     0.0     2.0     1.0     1.0     0.0     0.0     0.0     0.0     0.0     0.0
     0.0     0.0    13.0     0.0     0.0     0.0     0.0     0.0     1.0     1.0
     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     1.0
     0.0     0.0     1.0     0.0     0.0     4.0     0.0     1.0     0.0     0.0
     0.0     0.0     1.0     3.0     3.0     0.0    20.0     1.0   191.0     5.0
 16180.0      .5
120, , 3159
     0.0     0.0     8.0     0.0     1.0     6.0   120.0    32.0     7.0     0.0
     0.0     5.0     0.0     0.0     4.0     1.0    16.0     3.0     2.0     6.0
     0.0     0.0     0.0     0.0     0.0     1.0     0.0     2.0     0.0     1.0
     0.0     0.0    33.0     3.0     3.0   167.0     1.0     0.0     0.0     0.0
     0.0     6.0     5.0     1.0     0.0     0.0     1.0     7.0     0.0     0.0
     0.0     2.0     0.0     8.0     0.0     0.0     0.0     0.0     0.0     0.0
     0.0     0.0    21.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0
     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     1.0     1.0
     3.0     0.0     1.0     0.0     0.0    10.0     0.0     0.0     0.0     0.0
     0.0     0.0     0.0    10.0     2.0     0.0    31.0     1.0   334.0     5.0
 16180.0      .5
140, , 3353
     0.0     0.0     1.0     0.0     3.0     0.0    94.0    20.0     1.0     1.0
     0.0     1.0     0.0     2.0     5.0     0.0     8.0     0.0     1.0     2.0
     0.0     0.0     0.0     0.0     0.0     1.0     1.0     0.0     1.0     0.0
     0.0     0.0    17.0     1.0     3.0    70.0     1.0     0.0     0.0     0.0
     0.0     5.0     5.0     1.0     0.0     0.0     0.0     6.0     0.0     0.0
     0.0     0.0     0.0     1.0     0.0     0.0     0.0     0.0     0.0     0.0
     0.0     0.0     9.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0
     0.0     0.0     1.0     1.0     0.0     0.0     0.0     0.0     1.0     1.0
     0.0     0.0     0.0     0.0     0.0     4.0     0.0     0.0     0.0     0.0
     0.0     0.0     0.0     0.0     4.0     0.0    45.0     2.0   201.0     5.0
 16180.0      .5
150, , 3450
     1.0     0.0     6.0     0.0     1.0     3.0   166.0    23.0     5.0     1.0
     0.0     2.0     0.0     1.0     6.0     0.0    18.0     6.0     0.0     6.0
     0.0     0.0     0.0     0.0     0.0     2.0     2.0     0.0     0.0     3.0
     0.0     0.0    35.0     1.0     5.0   174.0     2.0     0.0     1.0     1.0
     0.0     7.0     5.0     5.0     0.0     0.0     0.0    11.0     1.0     0.0
     0.0     0.0     0.0     4.0     0.0     0.0     0.0     0.0     0.0     0.0
     0.0     0.0    39.0     0.0     0.0     0.0     0.0     0.0     0.0     1.0
     0.0     0.0     2.0     0.0     0.0     0.0     0.0     0.0     2.0     7.0
     4.0     0.0     3.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0
     0.0     0.0     1.0    12.0     3.0     0.0    38.0     5.0   376.0     5.0
 16180.0      .5
160, , 3512
     1.0     0.0     3.0     0.0     0.0     1.0    60.0     5.0     3.0     0.0
     0.0     4.0     0.0     1.0     2.0     0.0     7.0     0.0     1.0     5.0
     0.0     1.0     0.0     0.0     0.0     1.0     0.0     0.0     0.0     0.0
     0.0     0.0    10.0     1.0     0.0    43.0     0.0     0.0     0.0     0.0
     0.0     3.0     3.0     0.0     0.0     0.0     0.0     2.0     0.0     0.0
     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0
     0.0     0.0    10.0     0.0     0.0     0.0     0.0     0.0     1.0     1.0
     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     3.0
     0.0     0.0     0.0     0.0     0.0     0.0     0.0     1.0     0.0     0.0
     0.0     0.0     0.0     1.0     0.0     0.0    16.0     3.0   117.0     5.0
 16180.0      .5
180, , 3605
     2.0     0.0     5.0     0.0     0.0     1.0   124.0    24.0     7.0     0.0
     0.0     8.0     0.0     0.0     2.0     2.0    20.0     2.0     2.0    11.0
     0.0     0.0     0.0     0.0     0.0     0.0     5.0     2.0     0.0     0.0
     0.0     0.0    33.0     1.0     2.0   205.0     0.0     0.0     0.0     0.0
     1.0     8.0     0.0     2.0     1.0     0.0     1.0    13.0     0.0     0.0
     0.0     2.0     0.0     5.0     0.0     0.0     0.0     0.0     0.0     0.0
     1.0     0.0    41.0     0.0     1.0     0.0     0.0     0.0     2.0     0.0
     0.0     0.0     0.0     1.0     0.0     0.0     0.0     0.0     1.0     2.0
     3.0     0.0     3.0     0.0     0.0     8.0     0.0     0.0     0.0     0.0
     0.0     1.0     1.0     3.0     3.0     0.0    33.0     2.0   386.0     5.0
 16180.0      .5
190, , 3646
     0.0     0.0     2.0     0.0     0.0     0.0    39.0     9.0     2.0     2.0
     0.0     0.0     0.0     0.0     0.0     0.0     5.0     1.0     0.0     1.0
     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0
     0.0     0.0     7.0     1.0     0.0    59.0     0.0     0.0     0.0     0.0
     0.0     3.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0
     0.0     1.0     0.0     1.0     0.0     0.0     0.0     0.0     0.0     0.0
     0.0     0.0     7.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0
     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0
     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0
     0.0     0.0     1.0     0.0     2.0     0.0     9.0     1.0   119.0     5.0
 16180.0      .5
210, , 3723
     0.0     0.0     4.0     0.0     3.0     4.0   109.0    37.0     7.0     0.0
     0.0     8.0     1.0     0.0     3.0     0.0    25.0     7.0     1.0     7.0
     1.0     0.0     0.0     0.0     0.0     0.0     3.0     2.0     0.0     1.0
     0.0     0.0    32.0     6.0     1.0   180.0     0.0     0.0     0.0     0.0
     2.0     7.0     2.0     1.0     0.0     0.0     0.0     6.0     0.0     0.0
     0.0     0.0     0.0     6.0     0.0     0.0     0.0     0.0     0.0     0.0
     0.0     0.0    13.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0
     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     1.0     2.0
     6.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0
     1.0     1.0     0.0     4.0     2.0     0.0    39.0     2.0   380.0     5.0
 16180.0      .5
220, , 3762
     0.0     0.0     3.0     0.0     2.0     0.0    47.0    14.0     1.0     0.0
     0.0     1.0     0.0     0.0     0.0     0.0     3.0     0.0     1.0     5.0
     0.0     0.0     0.0     0.0     0.0     0.0     1.0     1.0     0.0     0.0
     0.0     0.0     4.0     0.0     3.0    63.0     0.0     0.0     1.0     0.0
     0.0     2.0     0.0     0.0     0.0     0.0     1.0     5.0     0.0     0.0
     0.0     0.0     0.0     2.0     0.0     0.0     0.0     0.0     0.0     0.0
     0.0     0.0     5.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0
     0.0     0.0     1.0     0.0     0.0     0.0     0.0     0.0     0.0     2.0
     0.0     0.0     0.0     0.0     0.0     1.0     0.0     0.0     0.0     0.0
     1.0     0.0     0.0     0.0     1.0     0.0    14.0     2.0   122.0     5.0
 16180.0      .5
240, , 3839
     0.0     0.0     5.0     1.0     3.0     2.0   136.0    20.0     7.0     2.0
     0.0     7.0     0.0     0.0     4.0     0.0    14.0     0.0     3.0     3.0
     0.0     0.0     0.0     0.0     0.0     1.0     3.0     0.0     0.0     1.0
     0.0     0.0    14.0     2.0     2.0   167.0     0.0     0.0     2.0     1.0
     0.0     3.0     3.0     2.0     0.0     0.0     0.0     1.0     1.0     0.0
     0.0     0.0     0.0     5.0     1.0     0.0     0.0     1.0     0.0     0.0
     0.0     0.0    11.0     0.0     0.0     0.0     0.0     0.0     0.0     1.0
     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     6.0
     1.0     0.0     0.0     0.0     0.0     2.0     0.0     0.0     0.0     0.0
     0.0     0.0     0.0     3.0     2.0     0.0    31.0     1.0   238.0     5.0
 16180.0      .5
250, , 3877
     0.0     0.0     0.0     0.0     0.0     1.0    32.0     5.0     3.0     0.0
     0.0     2.0     0.0     0.0     0.0     0.0     2.0     1.0     2.0     2.0
     0.0     0.0     0.0     0.0     0.0     0.0     0.0     2.0     0.0     0.0
     0.0     0.0     5.0     0.0     2.0    38.0     1.0     0.0     0.0     0.0
     0.0     0.0     2.0     1.0     0.0     1.0     0.0     2.0     0.0     0.0
     0.0     0.0     0.0     2.0     0.0     0.0     0.0     0.0     0.0     0.0
     0.0     0.0     1.0     1.0     0.0     0.0     0.0     0.0     0.0     1.0
     0.0     0.0     1.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0
     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0
     0.0     0.0     0.0     0.0     2.0     0.0     8.0     5.0    66.0     5.0
 16180.0      .5
270, , 3954
     0.0     0.0    11.0     0.0     1.0     1.0   154.0    28.0     9.0     1.0
     0.0     8.0     0.0     1.0     3.0     0.0    15.0     4.0     3.0    12.0
     0.0     0.0     0.0     0.0     0.0     2.0     4.0     4.0     0.0     2.0
     0.0     0.0    19.0     1.0     1.0   155.0     0.0     0.0     1.0     2.0
     0.0     1.0     1.0     1.0     0.0     0.0     0.0     9.0     0.0     0.0
     0.0     2.0     1.0     4.0     0.0     0.0     0.0     0.0     0.0     0.0
     1.0     0.0    12.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0
     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     1.0     2.0
     1.0     0.0     1.0     0.0     0.0     1.0     0.0     0.0     0.0     0.0
     0.0     0.0     0.0     2.0     1.0     0.0    44.0     2.0   333.0     5.0
 16180.0      .5
280, , 3993
     0.0     0.0     0.0     0.0     0.0     0.0    26.0     5.0     2.0     0.0
     0.0     3.0     0.0     0.0     1.0     0.0    11.0     2.0     0.0     3.0
     0.0     0.0     0.0     0.0     0.0     1.0     3.0     0.0     0.0     0.0
     0.0     0.0     9.0     0.0     2.0    42.0     0.0     0.0     0.0     1.0
     0.0     0.0     1.0     0.0     0.0     0.0     0.0     1.0     0.0     0.0
     0.0     0.0     0.0     1.0     0.0     0.0     0.0     0.0     0.0     0.0
     0.0     0.0     3.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0
     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0
     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0
     0.0     0.0     0.0     0.0     1.0     0.0     3.0     0.0    82.0     5.0
 16180.0      .5
290, , 4048
     0.0     0.0     9.0     0.0     2.0     7.0   115.0    40.0    17.0     0.0
     0.0     4.0     0.0     0.0     6.0     0.0    36.0     8.0     3.0    11.0
     0.0     0.0     0.0     0.0     0.0     1.0     4.0     4.0     0.0     2.0
     0.0     0.0    35.0     4.0     1.0   208.0     0.0     0.0     1.0     1.0
     0.0     5.0     8.0     0.0     2.0     0.0     0.0     6.0     0.0     0.0
     0.0     2.0     0.0     1.0     0.0     0.0     0.0     0.0     0.0     0.0
     0.0     0.0     9.0     0.0     1.0     0.0     0.0     0.0     0.0     0.0
