# GPD ASCII Format
# 24 Apr 00
# Raw Counts - All Pollen Types
#
# ****************************************************************
# ** Please acknowledge the contributors and the North American **
# ** Pollen Database when using these data.                     **
# ****************************************************************
#
# Site name:      Lac à Magie
     8.0     2.0     4.0     0.0     3.0     0.0     0.0   120.0     1.0     0.0
     0.0     6.0     0.0     0.0     0.0     0.0     0.0     1.0     0.0     2.0
    10.0    12.0     0.0     4.0     8.0     6.0     0.0     6.0    59.0     0.0
     1.0     0.0     0.0    30.0     0.0     5.0     0.0     0.0     2.0     0.0
     2.0     1.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0
     0.0     0.0     0.0     0.0     0.0     3.0     0.0     0.0     0.0     0.0
     0.0     0.0     0.0     4.0     0.0     0.0     0.0     0.0     0.0    19.0
     0.0     0.0     0.0     0.0     0.0     2.0     3.0     0.0     4.0     1.0
     2.0     0.0     1.0     0.0     0.0     1.0     0.0     0.0     0.0     1.0
   122.0     0.0     0.0     0.0     0.0     0.0     0.0     7.0     1.0   143.0
     3.0
825, , 9679
     5.0     0.0     0.0     0.0     0.0     0.0     0.0   111.0     0.0     0.0
     0.0     8.0     6.0     0.0     0.0     0.0     0.0     4.0     0.0     0.0
     7.0    15.0     0.0     4.0    15.0    12.0     0.0    12.0    49.0     0.0
     0.0     0.0     0.0    28.0     0.0     2.0     0.0     0.0     3.0     0.0
     1.0     0.0     0.0     4.0     0.0     0.0     0.0     0.0     2.0     0.0
     0.0     0.0     0.0     0.0     0.0     2.0     0.0     0.0     0.0     0.0
     0.0     1.0     0.0     1.0     0.0     0.0     0.0     0.0     0.0    27.0
     0.0     1.0     0.0     2.0     0.0     3.0     4.0     0.0     2.0     1.0
     8.0     0.0     3.0     0.0     0.0     1.0     0.0     1.0     0.0     0.0
   214.0     0.0     0.0     0.0     0.0     0.0     2.0    12.0     6.0   113.0
     3.0
829, , 9778
     2.0     0.0     2.0     1.0     2.0     0.0     2.0   142.0     0.0     2.0
     1.0     7.0     2.0     0.0     0.0     0.0     0.0     6.0     0.0     1.0
    19.0    39.0     0.0    13.0    17.0    15.0     0.0    10.0    33.0     0.0
     1.0     0.0     0.0    39.0     1.0    10.0     0.0     0.0     1.0     0.0
     0.0     0.0     0.0     3.0     0.0     0.0     0.0     0.0     3.0     0.0
