     7.0     0.0     0.0     1.0     0.0     0.0     0.0     0.0     0.0     8.0
     3.0     2.0    16.0     0.0     1.0    15.0     0.0     0.0     0.0     0.0
     0.0     0.0     0.0     0.0     9.0     1.0     2.0     0.0     0.0     0.0
     0.0     1.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0
     2.0     0.0     0.0     0.0     0.0     0.0     1.0     0.0     0.0     0.0
     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0
     0.0     0.0     0.0     0.0     0.0     0.0     2.0     2.0    17.0     0.0
     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0
     0.0     0.0     0.0     0.0     0.0     1.0     8.0     0.0     0.0     0.0
   138.0
180, , 4182
     0.0     1.0     0.0     0.0     0.0     1.0     4.0     0.0    12.0     0.0
     1.0     0.0     0.0     0.0     0.0     0.0     0.0     7.0     0.0     1.0
    20.0     1.0     0.0     1.0     0.0     0.0     3.0     0.0     3.0    10.0
     1.0     1.0     7.0     1.0     0.0    41.0     0.0     0.0     0.0     0.0
     0.0     0.0     1.0     1.0     5.0     5.0     1.0     0.0     1.0     0.0
     0.0     0.0     0.0     1.0     0.0     0.0     0.0     0.0     0.0     0.0
     1.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0
     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0
     0.0     0.0     0.0     0.0     0.0     0.0     0.0     3.0    13.0     0.0
     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0
     0.0     0.0     0.0     0.0     2.0     5.0     0.0     1.0     0.0     0.0
    74.0
200, , 4695
     0.0     2.0     0.0     0.0     1.0     0.0     1.0     0.0    11.0     1.0
     0.0     0.0     0.0     0.0     0.0     0.0     1.0    14.0     0.0     2.0
     8.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0    14.0
     1.0     1.0    13.0     1.0     0.0    17.0     0.0     0.0     0.0     0.0
     0.0     0.0     1.0     0.0    21.0     1.0     0.0     0.0     0.0     0.0
     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0
     2.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0
     0.0     1.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0
     1.0     0.0     0.0     0.0     0.0     0.0     2.0     3.0    18.0     0.0
     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0
     0.0     0.0     0.0     0.0     0.0     4.0     7.0     0.0     0.0     0.0
   188.0
220, , 4980
     0.0     0.0     0.0     0.0     0.0     1.0     5.0     0.0     9.0     3.0
     0.0     0.0     0.0     0.0     0.0     0.0     3.0     9.0     0.0     1.0
     1.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     1.0    13.0
     2.0     1.0    12.0     2.0     0.0    26.0     0.0     0.0     0.0     0.0
     0.0     0.0     0.0     0.0    12.0     0.0     0.0     0.0     0.0     0.0
