# GPD ASCII Format
# 24 Apr 00
# Raw Counts - All Pollen Types
#
# ****************************************************************
# ** Please acknowledge the contributors and the North American **
# ** Pollen Database when using these data.                     **
# ****************************************************************
#
# Site name:      Burden Lake
     0.0     0.0     0.0     2.0     0.0    51.0    11.0     7.0     2.0     2.0
     1.0     0.0     0.0     0.0     0.0     0.0     1.0    15.0     0.0     1.0
    30.0    95.0     5.0     0.0   147.0     0.0     0.0     1.0     0.0     0.0
     0.0     0.0     0.0     2.0    67.0    12.0     0.0     1.0     0.0     0.0
     0.0     0.0     0.0     2.0     0.0     0.0     0.0     0.0     0.0     0.0
     0.0     0.0     0.0     0.0     0.0     0.0     2.0     0.0     0.0     0.0
     0.0     0.0     1.0     0.0     2.0     0.0     0.0     0.0     1.0     0.0
     1.0     0.0     1.0     0.0     2.0     6.0     0.0     2.0   318.0
220, , 2748
     0.0     0.0     7.0     2.0    19.0     0.0    22.0    49.0    20.0     8.0
     0.0     0.0     1.0     0.0     0.0    69.0    11.0    10.0     0.0     0.0
     0.0     0.0     0.0     0.0     0.0     0.0     1.0    18.0     1.0     2.0
    14.0    70.0     6.0     3.0   151.0     0.0     0.0     0.0     0.0     0.0
     0.0     0.0     0.0     1.0    39.0    10.0     0.0     2.0     1.0     0.0
     0.0     0.0     0.0     6.0     0.0     0.0     0.0     1.0     0.0     0.0
     0.0     0.0     0.0     0.0     0.0     0.0     1.0     0.0     0.0     0.0
     0.0     0.0     4.0     0.0     0.0     0.0     0.0     0.0     2.0     0.0
     0.0     0.0     0.0     4.0     3.0     3.0     3.0     3.0   274.0
250, , 2859
     0.0     0.0     3.0     1.0    11.0     1.0     9.0    36.0     8.0     2.0
     0.0     0.0     0.0     4.0     0.0    58.0     6.0     1.0     0.0     0.0
     2.0     0.0     0.0     0.0     1.0     0.0     1.0    11.0     1.0     3.0
    17.0    45.0     1.0     5.0   122.0     0.0     0.0     0.0     0.0     0.0
     0.0     0.0     0.0     1.0    23.0     5.0     0.0     0.0     0.0     1.0
     0.0     0.0     0.0     2.0     0.0     0.0     0.0     0.0     0.0     0.0
     1.0     0.0     0.0     0.0     0.0     0.0     3.0     0.0     0.0     0.0
     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     1.0
     0.0     0.0     0.0     1.0     1.0     4.0     1.0     1.0   168.0
280, , 3050
     1.0     0.0     8.0     0.0    17.0     0.0    28.0    74.0    21.0     0.0
     0.0     1.0     3.0     3.0     0.0    82.0    16.0    12.0     0.0     0.0
     2.0     0.0     2.0     0.0     0.0     0.0     0.0    23.0     1.0     3.0
    13.0    71.0     2.0     8.0   244.0     0.0     0.0     0.0     0.0     0.0
     0.0     0.0     0.0     0.0    31.0    18.0     0.0     2.0     1.0     0.0
     1.0     0.0     0.0     2.0     0.0     1.0     1.0     0.0     0.0     0.0
     3.0     0.0     1.0     0.0     0.0     0.0     5.0     0.0     0.0     0.0
     0.0     1.0     8.0     1.0     0.0     2.0     0.0     0.0     1.0     0.0
     0.0     1.0     0.0     0.0     1.0     5.0     0.0     1.0   424.0
320, , 3317
     0.0     0.0     4.0     1.0    12.0     0.0    35.0    56.0    19.0     4.0
     0.0     0.0     1.0     2.0     1.0    58.0     9.0    16.0     0.0     0.0
     2.0     0.0     0.0     0.0     0.0     0.0     1.0    14.0     2.0     0.0
     5.0    53.0     4.0     3.0   213.0     0.0     0.0     1.0     1.0     0.0
     0.0     1.0     2.0     3.0    17.0    12.0     0.0     1.0     0.0     0.0
     0.0     1.0     0.0     1.0     0.0     0.0     2.0     0.0     1.0     0.0
     1.0     0.0     0.0     0.0     0.0     0.0     5.0     0.0     1.0     0.0
     0.0     0.0     1.0     1.0     0.0     2.0     0.0     1.0     0.0     0.0
     0.0     0.0     2.0     2.0     3.0     7.0     5.0     1.0   318.0
350, , 3517
     0.0     0.0     2.0     1.0     8.0     0.0    28.0    25.0    15.0     4.0
     0.0     0.0     0.0     2.0     0.0    34.0     5.0     5.0     2.0     0.0
     0.0     0.0     0.0     0.0     0.0     2.0     0.0     9.0     1.0     1.0
     2.0    41.0     5.0     5.0   118.0     0.0     0.0     0.0     0.0     0.0
     0.0     0.0     0.0     0.0     4.0     4.0     1.0     0.0     0.0     0.0
     0.0     0.0     1.0     0.0     0.0     0.0     1.0     0.0     0.0     0.0
     2.0     1.0     0.0     0.0     0.0     0.0     1.0     0.0     0.0     0.0
     0.0     2.0     0.0     1.0     0.0     0.0     0.0     1.0     2.0     0.0
     0.0     0.0     0.0     1.0     0.0     3.0     1.0     1.0   161.0
380, , 3717
     0.0     0.0     9.0     4.0    13.0     0.0    23.0    39.0    31.0     1.0
     0.0     1.0     1.0     4.0     0.0    59.0     3.0    12.0     0.0     1.0
     0.0     0.0     0.0     0.0     1.0     0.0     1.0    12.0     3.0     1.0
     4.0    36.0     8.0     3.0   281.0     0.0     0.0     0.0     1.0     0.0
     0.0     0.0     0.0     1.0    10.0    19.0     0.0     0.0     1.0     0.0
     0.0     1.0     1.0     1.0     0.0     0.0     2.0     0.0     0.0     1.0
     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0
     0.0     2.0     4.0     1.0     0.0     0.0     0.0     0.0     0.0     0.0
     2.0     0.0     0.0     4.0     0.0     3.0     1.0     4.0   323.0
420, , 3983
     0.0     0.0     9.0     0.0    15.0     0.0    23.0    41.0    16.0     6.0
     0.0     1.0     1.0     0.0     0.0    46.0    14.0     7.0     0.0     1.0
     0.0     0.0     0.0     0.0     0.0     1.0     1.0    25.0     0.0     0.0
     1.0    51.0     0.0     5.0   211.0     1.0     0.0     1.0     0.0     0.0
     0.0     0.0     0.0     4.0    13.0     9.0     0.0     0.0     0.0     0.0
     0.0     1.0     0.0     4.0     0.0     0.0     1.0     0.0     0.0     0.0
     2.0     0.0     0.0     0.0     0.0     0.0     5.0     0.0     0.0     0.0
     0.0     2.0     1.0     0.0     2.0     0.0     0.0     0.0     0.0     0.0
     0.0     0.0     0.0     2.0     3.0     5.0     2.0     2.0   289.0
450, , 4172
     0.0     0.0     1.0     0.0    11.0     0.0    19.0    40.0    22.0     2.0
