# GPD ASCII Format
# 25 Mar 00
# Raw Counts - All Pollen Types
#
# *********************************************************
# ** Please acknowledge the contributors and the African **
# ** Pollen Database when using these data.              **
# *********************************************************
#
# Site name:      Rusaka Swamp
     0.0     0.0     2.0     8.0     0.0     0.0     0.0     0.0     3.0     0.0
     0.0     1.0     0.0     0.0     0.0     0.0     0.0     0.0     3.0     0.0
     0.0     8.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0
     0.0     0.0     0.0    13.0     0.0     1.0     1.0     0.0     0.0     1.0
     0.0    17.0     0.0     0.0    31.0     0.0     7.0     4.0     0.0     1.0
     0.0     0.0     0.0     0.0     0.0     0.0     1.0     0.0     0.0     0.0
   281.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0
     0.0     0.0     0.0     2.0     0.0     0.0    32.0     0.0     1.0     0.0
     0.0     0.0     0.0     0.0     0.0     5.0     0.0    37.0     0.0     0.0
     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0
     1.0     0.0     0.0     0.0     0.0     0.0     0.0     1.0     0.0     0.0
     0.0     0.0     3.0     0.0     0.0     1.0    14.0     5.0     4.0     0.0
     0.0     0.0     0.0     1.0     0.0    50.0    22.0     0.0     0.0
95, , 1040
     0.0     0.0     0.0     0.0     7.0     0.0     0.0     0.0    32.0     0.0
     1.0     0.0     0.0     0.0     0.0     0.0     1.0     0.0     0.0     0.0
     0.0     0.0     0.0     3.0     0.0     2.0     0.0     2.0     1.0     0.0
     0.0     0.0     3.0     2.0     0.0     3.0     0.0     0.0     0.0     1.0
     1.0     0.0     0.0     0.0     1.0    12.0     0.0     0.0     0.0     1.0
     0.0     1.0     1.0    34.0     0.0     1.0     0.0     5.0     2.0     0.0
     0.0     0.0     0.0     0.0     0.0     0.0     0.0     4.0     0.0     0.0
     0.0     8.0     0.0     0.0     1.0     0.0     2.0     0.0     0.0     0.0
     0.0     0.0     3.0     8.0     0.0     0.0     7.0     0.0     0.0     1.0
     0.0     3.0     0.0     0.0    21.0     0.0     3.0     0.0     0.0     0.0
     0.0     0.0     0.0     0.0     1.0     0.0     0.0     0.0     0.0     0.0
    65.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0
     0.0     0.0     0.0     2.0     0.0     1.0   155.0     0.0     0.0     0.0
     0.0     2.0     0.0     0.0     0.0     1.0     0.0    73.0     0.0     0.0
     0.0     0.0     0.0     0.0     0.0     2.0     0.0     0.0     0.0     0.0
     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0
     0.0     0.0     9.0     0.0     0.0     1.0     5.0     0.0     1.0     7.0
     0.0     0.0     1.0     0.0     0.0    25.0    15.0     8.0     0.0
105, , 1101
     0.0     0.0     0.0     0.0    11.0     0.0     0.0     0.0    28.0     0.0
     0.0     0.0     0.0     0.0     2.0     0.0     2.0     0.0     0.0     0.0
     0.0     0.0     0.0     2.0     0.0     3.0     0.0     1.0     0.0     0.0
     0.0     1.0     3.0     0.0     0.0     0.0     0.0     5.0     0.0     0.0
     1.0     0.0     1.0     0.0     0.0    61.0     0.0     2.0     3.0     0.0
     6.0     0.0     0.0    10.0     0.0     1.0     0.0     5.0     5.0     0.0
     3.0     2.0     0.0     0.0     0.0     0.0     0.0     2.0     0.0     0.0
     0.0     8.0     0.0     0.0     0.0     0.0     1.0     0.0     0.0     0.0
     0.0     0.0     0.0     3.0     0.0     0.0     2.0     0.0     0.0     4.0
     0.0    38.0     0.0     0.0    20.0     0.0     1.0     0.0     0.0     1.0
     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0
   103.0     0.0     1.0     0.0     0.0     0.0     0.0     3.0     0.0     0.0
     0.0     0.0     0.0    12.0     1.0     2.0    10.0     0.0     0.0     0.0
     0.0     5.0     0.0     0.0     1.0     0.0     0.0    42.0     0.0     0.0
     0.0     0.0     0.0     0.0     0.0     1.0     0.0     0.0     0.0     0.0
     4.0     0.0     1.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0
     0.0     0.0     2.0     0.0     0.0     0.0    19.0     6.0     0.0     0.0
     0.0     0.0     1.0     0.0     0.0    25.0    93.0     9.0     1.0
115, , 1162
     0.0     0.0     0.0     0.0     7.0     0.0     0.0     0.0     5.0     0.0
     1.0     0.0     0.0     0.0     1.0     0.0     2.0     0.0     2.0     0.0
     0.0     0.0     0.0     0.0     0.0     3.0     0.0     1.0     0.0     0.0
     0.0     0.0     0.0     1.0     0.0     0.0     0.0     3.0     0.0     0.0
     0.0     0.0     0.0     0.0     2.0    33.0     0.0     1.0     0.0     1.0
     1.0     0.0     1.0     9.0     0.0     1.0     1.0     2.0     5.0     0.0
     3.0     1.0     0.0     0.0     0.0     0.0     0.0     2.0     1.0     0.0
