# GPD ASCII Format
# 25 Mar 00
# Raw Counts - All Pollen Types
#
# ****************************************************************
# ** Please acknowledge the contributors and the North American **
# ** Pollen Database when using these data.                     **
# ****************************************************************
#
# Site name:      Poland Spring Pond
     0.0     1.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     1.0
     0.0     0.0     0.0     0.0     1.0     0.0     2.0     0.0     1.0     2.0
   222.0     5.0 10850.0      .5
500, , 1923
     0.0     0.0     0.0     2.0     0.0     4.0     0.0     1.0     0.0     0.0
    71.0     1.0     1.0     0.0     1.0     0.0     4.0     0.0     0.0    43.0
     0.0     4.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     6.0
     0.0     2.0    62.0    27.0     1.0     1.0    33.0     1.0     0.0     1.0
     0.0    42.0     3.0     0.0     0.0     0.0     0.0     0.0     1.0     0.0
     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0
     0.0     1.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0
     0.0     0.0     1.0     1.0     0.0     0.0     0.0     0.0     0.0     0.0
     0.0     0.0     0.0     0.0     0.0     0.0     0.0     1.0     0.0     1.0
     0.0     0.0     0.0     0.0     1.0     0.0     2.0     0.0     0.0     4.0
   135.0     5.0 10850.0      .5
520, , 2074
     0.0     0.0     0.0     3.0     0.0     8.0     0.0     1.0     1.0     1.0
    94.0     1.0     1.0     0.0     2.0     0.0     5.0     0.0     0.0    61.0
     0.0     5.0     3.0     2.0     0.0     0.0     0.0     0.0     0.0     5.0
     0.0     0.0    64.0    12.0     1.0     0.0    44.0     0.0     0.0     0.0
     0.0    42.0     1.0     0.0     0.0     0.0     1.0     0.0     0.0     0.0
     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0
     0.0     2.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0
     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0
     0.0     0.0     0.0     3.0     0.0     0.0     0.0     0.0     0.0     0.0
     0.0     0.0     0.0     0.0     0.0     0.0     3.0     1.0     0.0     5.0
   221.0     5.0 10850.0      .5
540, , 2485
     1.0     0.0     0.0     4.0     0.0     8.0     0.0     1.0     1.0     0.0
    90.0     1.0     0.0     0.0     1.0     0.0     2.0     0.0     0.0    65.0
     0.0     4.0     3.0     0.0     0.0     0.0     0.0     0.0     0.0     6.0
     3.0     8.0    18.0    15.0     0.0     0.0    24.0     0.0     0.0     0.0
     1.0    81.0     2.0     0.0     0.0     0.0     1.0     0.0     1.0     0.0
     0.0     0.0     1.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0
     0.0     1.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0
     0.0     0.0     0.0     1.0     0.0     0.0     0.0     0.0     0.0     0.0
     0.0     1.0     0.0     0.0     0.0     1.0     0.0     0.0     0.0     1.0
     0.0     0.0     0.0     0.0     1.0     0.0     4.0     0.0     2.0     4.0
   237.0     5.0 10850.0      .5
560, , 2758
     0.0     0.0     0.0     5.0     0.0    10.0     4.0     2.0     3.0     0.0
    91.0     1.0     0.0     0.0     1.0     0.0     0.0     0.0     0.0    80.0
     0.0    10.0     0.0     0.0     0.0     1.0     0.0     0.0     0.0     6.0
     0.0     0.0    16.0    24.0     0.0     0.0    35.0     0.0     0.0     0.0
     5.0   113.0     4.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0
     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0
     0.0     2.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0
     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0
     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     1.0
     0.0     2.0     0.0     0.0     2.0     0.0     2.0     0.0     0.0     2.0
   229.0     5.0 10850.0      .5
580, , 3032
     0.0     0.0     0.0     2.0     0.0     4.0     0.0     1.0     0.0     0.0
    57.0     0.0     0.0     0.0     0.0     0.0     2.0     0.0     0.0    85.0
     0.0     9.0     0.0     1.0     0.0     0.0     0.0     0.0     0.0     6.0
     0.0     6.0    14.0    23.0     0.0     0.0    32.0     0.0     0.0     0.0
     0.0    48.0     6.0     0.0     0.0     0.0     3.0     0.0     0.0     0.0
     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0
     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0
     1.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0
     0.0     0.0     0.0     1.0     0.0     0.0     0.0     0.0     0.0     0.0
     0.0     0.0     0.0     0.0     4.0     0.0     7.0     0.0     0.0     2.0
   145.0     5.0 10850.0      .5
600, , 3306
