# GPD ASCII Format
# 23 Mar 00
# Raw Counts - All Pollen Types
#
# ****************************************************************
# ** Please acknowledge the contributors and the North American **
# ** Pollen Database when using these data.                     **
# ****************************************************************
#
# Site name:      Black Pond
# Place:          USA:Tennessee
# Latitude:       35.37.15N      (  35.620833)
# Longitude:      84.11.12W      ( -84.186667)
# Elevation(m):   262
# Sigle:          BLACKPND
# Entity name:    Core BPT82A
# Contact person: Delcourt, P.A.
#
# Radiocarbon dates:
#   Depth   Thk     Age   SDup   SDlo  Lab no.    Basis  Material
#   202.5    10     430     90     90  A-3064       G    clayey silt with macro
#   264.0    10    2840    150    150  A-2977       G    silty sand
#
# Chron name:     NAPD 1
# Age model:      linear interpolation
# Age bounds:     -30 - 2740
# Chron notes:    Chron uses surface (-32 BP) and two radiocarbon dates
#                 adjusted by 300 yrs, placing the Ambrosia-rise at the time
#                 of European settlement (AD 1820).
#
# Age basis:
#   Depth   Thk     Age  AgeUp  AgeLo  RCode
#     0.0     0     -32      0    -32   TOP
#   202.5    10     130    150    110   AMR
#   264.0    10    2540   2840   2240   CAJ
#
# Publications:   Cridlebaugh, P.A. 1984. American Indian and Euro-American
#                 impact upon Holocene vegetation in the Lower Little
#                 Tennessee River Valley, East Tennessee. Dissertation.
#                 University of Tennessee, Knoxville, Tennessee, USA.
#
#                 Delcourt, P.A., H.R. Delcourt, P.A. Cridlebaugh, and J.
#                 Chapman. 1986. Holocene ethnobotanical and paleoecological
#                 record of human impact on vegetation in the Little Tennessee
#                 River Valley, Tennessee. Quaternary Research 25:330-349.
#
106 43
     2.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0
     0.0     1.0     0.0     0.0     0.0     1.0     2.0     1.0     1.0     0.0
     8.0     0.0   333.0     1.0 16180.0     1.0
130, , 72
     0.0     0.0     1.0     0.0     0.0     1.0     4.0     7.0     0.0     0.0
     0.0     2.0     0.0     0.0     3.0     1.0     1.0     2.0     4.0     3.0
     0.0     0.0     0.0     1.0     2.0     0.0     0.0     0.0     0.0     0.0
     0.0     1.0    37.0    67.0     0.0     0.0     0.0   101.0     0.0     1.0
    74.0     0.0     0.0     0.0     0.0     2.0     1.0     1.0     0.0   254.0
     0.0     0.0    21.0     0.0    10.0     2.0     0.0     0.0    27.0     0.0
     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0
     0.0     0.0    13.0     0.0     2.0     0.0     1.0     0.0     0.0     0.0
     1.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     1.0
     1.0     1.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0
     7.0     0.0   234.0     1.0 16180.0     1.0
150, , 88
     0.0     1.0     0.0     0.0     0.0     0.0     5.0    10.0     3.0     0.0
     0.0     1.0     0.0     1.0     0.0     0.0     0.0     2.0     3.0     2.0
     0.0     1.0     0.0     1.0     2.0     0.0     0.0     0.0     0.0     0.0
     0.0     0.0    22.0    39.0     0.0     0.0     0.0    74.0     0.0     0.0
   191.0     2.0     0.0     0.0     0.0     2.0     0.0     2.0     0.0   723.0
     0.0     0.0    41.0     1.0     7.0     3.0     0.0     0.0    15.0     0.0
     0.0     0.0     0.0     0.0     1.0     0.0     0.0     1.0     0.0     0.0
     0.0     0.0    21.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0
     4.0     3.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0
     2.0     2.0     0.0     0.0     0.0     0.0     0.0     1.0     0.0     0.0
    10.0     0.0   159.0     1.0 16180.0     1.0
160, , 96
     1.0     0.0     0.0     0.0     2.0     1.0     8.0     7.0     3.0     0.0
     0.0     0.0     1.0     0.0     0.0     1.0     1.0     4.0     5.0     1.0
     1.0     0.0     0.0     1.0     4.0     1.0     0.0     0.0     0.0     0.0
     0.0     0.0    25.0    65.0     0.0     0.0     1.0    73.0     1.0     0.0
   107.0     1.0     0.0     0.0     1.0     3.0     0.0     1.0     0.0   290.0
     1.0     0.0    15.0     0.0     9.0     4.0     1.0     2.0    11.0     0.0
     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     1.0
     0.0     0.0    18.0     1.0     1.0     0.0     0.0     0.0     0.0     0.0
     2.0     1.0     0.0     2.0     0.0     0.0     0.0     1.0     0.0     0.0
     3.0     0.0     0.0     0.0     0.0     0.0     1.0     1.0     1.0     0.0
     8.0     0.0   116.0     1.0 16180.0     1.0
170, , 104
     0.0     0.0     0.0     1.0     1.0     1.0     6.0     7.0     2.0     1.0
     1.0     0.0     0.0     1.0     3.0     0.0     4.0    12.0     5.0     1.0
     0.0     0.0     1.0     0.0    13.0     0.0     0.0     0.0     0.0     0.0
     1.0     1.0    12.0    40.0     1.0     0.0     0.0    53.0     0.0     0.0
   129.0     4.0     0.0     0.0     0.0    11.0     1.0     1.0     0.0   112.0
     0.0     0.0     0.0     0.0     1.0     0.0     1.0     0.0    17.0     0.0
     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0
     0.0     0.0    10.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0
     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0
     0.0     5.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0
     5.0     0.0   100.0     1.0 16180.0     1.0
180, , 112
     0.0     0.0     0.0     1.0     1.0     2.0     4.0    15.0     0.0     0.0
     2.0     1.0     0.0     0.0     3.0     0.0     1.0    16.0     6.0     5.0
     1.0     0.0     0.0     0.0     2.0     0.0     0.0     0.0     1.0     1.0
     0.0     0.0    18.0    49.0     0.0     1.0     0.0    71.0     0.0     0.0
    99.0     7.0     0.0     0.0     0.0     2.0     1.0     1.0     0.0    61.0
     0.0     0.0     5.0     0.0     0.0     0.0     0.0     1.0    20.0     0.0
     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0
     0.0     0.0     5.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0
     0.0     0.0     0.0     0.0     0.0     0.0     0.0     2.0     0.0     0.0
     4.0    33.0     0.0     0.0     0.0     0.0     0.0     0.0     1.0     1.0
     6.0     0.0   177.0     1.0 16180.0     1.0
185, , 116
     0.0     1.0     0.0     0.0     1.0     1.0     5.0    22.0     0.0     0.0
     1.0     0.0     1.0     0.0     2.0     0.0     2.0    19.0     6.0     9.0
     0.0     0.0     0.0     0.0     1.0     0.0     0.0     0.0     0.0     0.0
     0.0     0.0    16.0    96.0     0.0     0.0     0.0   111.0     0.0     0.0
     7.0     0.0     0.0     0.0     0.0     4.0     0.0     0.0     0.0    23.0
     1.0     0.0     5.0     0.0     1.0     0.0     1.0     0.0    25.0     0.0
     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0
     0.0     0.0    12.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0
     0.0     0.0     0.0     1.0     0.0     0.0     0.0     0.0     0.0     0.0
     7.0    67.0     1.0     0.0     1.0     0.0     0.0     2.0     1.0     0.0
     4.0     0.0   202.0     1.0 16180.0     1.0
190, , 120
     0.0     0.0     0.0     1.0     3.0     7.0     7.0    13.0     1.0     0.0
